TIC,CTOI,Flag,Othe name,Epoch (BTJD),Epoch (BTJD) uper,Epoch (BTJD) lerr,Period (d),Period uerr,Period derr,Rpl/Rs,Rpl/Rs uerr,Rpl/Rs derr,Rpl (R earth),Rpl (R earth) uerr,Rpl (R earth) derr,Impact parameter,Impact parameter uerr,Impact parameter derr,Duration (h),Duration (h) uerr,Duration (h) derr,Vmag,Photometry,Spectroscopy,Speckle,Comment
385557214,385557214.01,,TYC 1807-00046-1,1791.58399,+0.0007,−0.00068,5.62451,+0.00043,−0.0004,0.096,+0.032,−0.019,8.32,+2.77,−2.06,0.95,+0.053,−0.075,1.221,+0.058,−0.094,10.856,,,,
388134787,388134787.01,,TYC 4260-00427-1,1811.034,+0.017,−0.015,246,+6209.0,−127.0(s),0.0265,+0.023,−0.0024,2.57,+2.19,−0.28,0.55,+0.44,−0.39,8.85,+1.84,−1.13,10.95,,NRES(1),Gemini,
404518509,404518509.01,,HIP 16038,1431.2696,+0.0035,−0.0037,26.83,+56.14,−9.46(s),0.0259,+0.0022,−0.0013,2.94,+0.29,−0.21,0.47,+0.34,−0.31,5.02,+0.28,−0.23,9.17,,,,
408636441,408636441.01,∗,TYC 4266-00736-1,1745.4668,+0.0015,−0.0016,37.695,+0.0033,−0.0034,0.0485,+0.0023,−0.0019,3.32,+0.19,−0.16,0.39,+0.29,−0.27,3.63,+0.14,−0.1,11.93,SBIG(1),,Gemini,Half of the period likely.
418255064,418255064.01,,TWOMASS 13063680−8037015,1629.3304,+0.0018,−0.0018,25.37,+15.41,−7.06(s),0.0732,+0.0031,−0.0029,5.57,+0.38,−0.36,0.37,+0.25,−0.25,3.83,+0.14,−0.13,12.478,SBIG(1),,Gemini,
420645189,420645189.01,†,TYC 4508-00478-1,1837.4767,+0.0017,−0.0018,250.2,+99.4,−66.6(s),0.0784,+0.0046,−0.0033,8.82,+0.7,−0.55,0.892,+0.028,−0.026,6.95,+0.3,−0.27,10.595,,MINERVA(1),,SB 2 from MINERVA observations.
422914082,422914082.01,,TYC 0046-00133-1,1431.5538,+0.0017,−0.0014,12.91,+8.97,−3.91(s),0.0418,+0.0016,−0.0015,3.96,+0.35,−0.32,0.36,+0.28,−0.25,4.07,+0.126,−0.09,11.026,Sinistro(1),NRES(1),,
427344083,427344083.01,,TWOMASS 22563609+7040518,1961.8967,+0.0036,−0.0031,7.77,+9.65,−5.6(s),0.107,+0.025,−0.016,12.27,+2.9,−1.87,0.834,+0.094,−0.484,2.88,+0.42,−0.3,13.404,,,,
436873727,436873727.01,,HIP 13224,1803.83679,+0.00056,−0.00058,19.26,+6.73,−5.95(s),0.05246,+0.00059,−0.00061,10.02,+0.41,−0.43,0.767,+0.038,−0.057,5.462,+0.074,−0.081,7.51,,,,
441642457,441642457.01,∗,TYC 3858-00452-1,1745.5102,+0.0097,−0.0108,79.8072,+0.0076,−0.0071,0.0281,+0.0033,−0.0024,3.55,+0.46,−0.34,0.934,+0.026,−0.023,6.9,+0.6,−0.39,9.996,,,,
