TIC ID,CTOI,TOI,Disposition,Has Time Series,Has Spectroscopy,Has Imaging,CTOI Notes,TOI Comments,Paper Comment,WTV Sectors,TFOPWG Disposition,TOI Master Priority,TOI Time Series Observations,TOI Spectroscopy Observations,TOI Imaging Observations,Paper Photometry,Paper Spectroscopy,Paper Speckle,TESS Mag,Transit Epoch (BTJD),Period (days),Depth ppm,Duration (hrs),Planet Radius (R_Earth),Stellar Distance (pc),Stellar Eff Temp (K),Approximate Absolute TESS Mag,Stellar Radius (R_Sun),RA,Dec,CTOI lastmod,TOI Date Modified
85293053,85293053.02,1772.02,PC,True,True,True,PHT candidate. Single transit event.,single transit; exterior to .01,,"21,48,",PC,3,1,6,6,,,,9.3523,2618.7076400001533,,3040.0,5.4,6.0,97.7562,5583.1,4.401578443808883,0.995254,156.837704,34.39095,2022-03-24 10:49:58,2022-12-14 12:09:24
86433395,86433395.01,,,False,False,False,PHT candidate. Caution of nearby companion star on same TESS pixel.,,,"50,",,,,,,,,,12.8545,2677.2379999998957,,15700.0,6.4,,100.134,3663.0,7.851592174779329,0.528604,214.908832,12.707333,2022-09-28 11:47:05,
88840705,88840705.01,2318.01,PC,False,True,True,PHT candidate. Single transit event. Grazing.,CTOI from Planet Hunters,,"25,26,52,53,79,80,",PC,3,0,3,7,,,,8.6512,2026.6488899998367,,4000.0,4.7,,45.0103,4968.0,5.38464046208939,0.844548,262.589332,40.369465,2020-09-17 08:01:46,2022-12-14 12:09:24
91287873,91287873.01,5554.01,PC,True,True,True,PHT candidate. Two transit events.,CTOI from Nora Eisner,,"44,45,71,72,",PC,1,1,2,1,,,,9.83733,2515.1729999999516,26.693,1670.0,3.8,2.8,39.4478,3997.0,6.857216061702754,0.626722,104.74387,28.715768,2022-01-04 04:26:13,2023-01-25 00:00:00
91987762,91987762.01,1898.01,PC,True,True,True,Planet Hunters TESS candidate. Single transit event.,CTOI from Planet Hunters; have period (~45 days) from s46,,"21,45,46,48,72,",PC,1,8,14,7,,NRES(4),Gemini,7.4098,1894.2549999998882,0.0,3000.0,4.7,9.5,79.6682,6303.91,2.9033749752301805,1.61034,144.5553,23.546746,2020-03-23 07:42:57,2022-12-14 12:09:24
95768667,95768667.01,,,False,False,False,Planet Hunters TESS candidate. Single transit event.,,,"22,48,",,,,,,,,,9.79566,1818.3500000000931,0.0,1000.0,4.5,,156.458,5994.0,3.823671128168087,1.14964,160.589156,21.771246,2020-06-22 01:22:25,
98794593,98794593.01,,,False,False,False,PHT candidate. Single transit event.,,,"4,31,",,,,,,,,,7.6909,2169.3169999998063,,364.0,10.0,3.2,86.3361,6206.45,3.00993786658118,1.54783,45.333886,-17.229924,2021-03-29 01:01:45,
99570132,99570132.01,,,False,False,False,Additional transit in FFI Sector 20 at ~1844.18 BTJD.,,,"20,47,73,74,",,,,,,,,,9.13441,2583.7139400001615,,665.0,8.4,5.1,246.152,7358.0,2.1783931560387995,1.8147,107.577986,66.257963,2022-03-01 09:36:50,
101641905,101641905.01,,,False,False,False,PHT candidate. Single transit event.,,,"22,49,",,,,,,,,,11.2102,1917.25,0.0,20000.0,3.0,8.5,108.444,4517.0,6.034172358358491,0.730241,175.359202,34.68337,2020-05-15 06:21:02,
101641905,101641905.02,,,False,False,False,PHT multi transit events. Low SNR.,,,"22,49,",,,,,,,,,11.2102,1904.5770999998786,4.30814,1040.0,1.9,2.6,108.444,4517.0,6.034172358358491,0.730241,175.359202,34.68337,2022-11-22 09:14:03,
103633672,103633672.01,2085.01,PC,False,True,True,PHT candidate. Single transit event.,signal transit,,"14,20,21,40,41,47,60,74,",PC,2,0,0,5,,NRES(1),,9.8499,1850.3500000000931,0.0,2000.0,7.0,3.5,84.5772,5134.0,5.213633483193042,0.799051,152.223473,70.394557,2020-05-16 03:35:10,2022-12-14 12:09:24
110996418,110996418.01,5171.01,PC,False,True,True,PHT candidate. Single transit event.,Rs = 0.96 Rsun from K2 obs. notes; SPOC is assuming solar parameters,,"10,46,",PC,3,0,1,3,,,,13.4003,1580.6499999999069,0.0,12000.0,3.6,12.7,696.695,,4.1850865313676415,,188.696788,-10.31971,2020-05-22 06:25:09,2022-12-14 12:09:24
128703021,128703021.01,,,False,True,True,Planet Hunters TESS candidate. Single transit event.,,,"11,38,65,",,,,,,,NRES(2);MINERVA(34),Gemini,5.5859,1601.8500000000931,0.0,600.0,7.2,4.0,34.0141,6281.14,2.9276050790814865,1.59629,219.793951,-46.585398,2020-03-06 02:04:31,
130718055,130718055.01,,,False,False,False,PHT candidate. Possible period 207.65 d. Unusual transit shape needs to be investigated. Events close to momentum dumps.,,,"23,46,50,",,,,,,,,,9.595,1897.8199999998324,,3150.0,7.3,4.8,76.9167,5227.0,5.16489678405897,0.788585,203.472673,-2.235469,2022-02-11 05:47:11,
135100529,135100529.01,5628.01,PC,True,False,False,"PHT candidate. No Gaia radius. Given Teff, color, parallax likely late type star.",no stellar radius; host is likely an M dwarf which would allow Rp to be planetary,,"49,",PC,3,2,0,0,,,,14.4733,2640.62099999981,4.341,42000.0,1.7,,110.03,3427.0,9.265744435203384,,185.727955,18.836705,2022-05-18 04:08:39,2022-12-14 12:09:24
138126035,138126035.01,2321.01,PC,False,True,True,PHT candidate. Single transit event.,CTOI from Planet Hunters; duo-transit; period is likely shorter than max period of ~716 days,,"23,50,",PC,2,0,5,8,,,,9.84325,1954.3229399998672,,1405.0,4.6,4.0,120.535,5645.84,4.437684138898653,0.974373,196.736409,16.54934,2020-09-17 08:06:36,2022-12-14 12:09:24
139470998,139470998.01,,,False,False,False,Planet Hunters TESS candidate.,,,"3,30,",,,,,,,,,9.9103,1394.9870000001974,121.8,2664.95,10.8,8.27,260.441,6877.0,2.8317532289347174,1.46976,35.576414,-25.598203,2021-01-07 01:09:11,
141522677,141522677.01,,,False,False,False,PHT candidate. Single transit event.,,,"19,20,26,40,47,59,60,73,79,",,,,,,,,,9.40853,2410.6140000000596,,1670.0,4.57,6.0,175.659,6608.0,3.185177969746789,1.3326,101.546921,78.50475,2022-01-23 23:50:23,
142087638,142087638.01,2404.01,PC,True,True,True,PHT candidate. Single transit event.,potential L1 given Rp error,,"1,3,4,5,6,7,8,9,10,11,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,",PC,3,4,1,1,,,,11.1464,1512.1699999999255,0.0,2500.0,2.55,5.8,295.737,6142.0,3.7918716849346916,1.18003,98.442149,-74.190098,2020-05-22 07:31:03,2022-12-14 12:09:24
149601126,149601126.01,2525.01,PC,True,False,False,PHT candidate. Additional transits in the FFIs.,potential multi; CTOI from Planet Hunters,,"1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,67,68,69,",PC,3,9,0,0,,,,13.4006,2056.066240000073,23.19,9720.0,3.6,8.8,395.398,4944.0,5.415427658813814,0.824284,86.850974,-60.521308,2020-12-04 05:22:08,2022-12-14 12:09:24
